id,CombAdj1,CombAdj2,CombAdj11,CombAdj12,CombAdj13,CombAdj14,CombAdj15,CombAdj16,CombAdj17,CombAdj18,CombAdj19,CombAdj3,CombAdj4,CombAdj5,CombAdj6,CombAdj7,CombAdj8,CombAdj9,CombAdj10
1,0.75,0.4286,0.2,0.25,0.1667,0.5,0.0,1.0,0.0,1.0,0.3333,0.4286,0.6,0.75,0.3333,0.3333,0.25,0.0,0.4
2,1.0,0.5714,0.2,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5714,1.0,0.5,0.5,1.0,0.125,1.0,0.6
3,0.5,0.4286,0.2,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.3333,0.5714,0.4,0.0,0.3333,0.3333,0.25,0.0,0.4
4,0.125,0.4286,0.2,0.25,0.1667,1.0,0.5,0.0,0.5,0.0,0.1667,0.7143,0.3,0.0,0.0,0.3333,0.0,0.0,0.4
5,0.875,0.5,0.2,0.25,0.1667,0.5833,0.5,0.6667,0.0,0.0,0.3333,0.4286,0.5,0.25,0.5,0.6667,0.0,0.25,0.4
6,0.25,0.7857,0.0,0.0,0.1667,0.4167,0.0,0.0,0.0,0.0,0.0,0.4286,0.6,0.75,0.1667,0.3333,0.25,0.25,0.2
7,0.375,1.0,0.2,0.25,0.3333,0.6667,0.0,0.0,0.0,0.5,0.3333,0.4286,0.6,0.25,0.1667,0.0,0.125,0.0,0.2
8,0.375,0.7857,0.4,0.0,0.5,0.25,0.0,0.6667,0.0,0.5,1.0,0.4286,0.35,0.75,0.1667,0.0,0.125,0.0,0.4
9,0.5,0.7857,0.0,0.0,0.0,0.5,1.0,0.6667,0.0,0.0,0.1667,0.7143,0.7,1.0,0.3333,0.3333,0.375,0.75,0.4
10,0.625,0.5714,0.4,0.25,0.6667,0.3333,0.0,0.3333,0.0,0.0,0.1667,0.7143,0.5,0.25,0.5,0.3333,0.25,0.25,0.2
11,0.75,0.4286,0.0,0.25,0.8333,0.5,0.0,0.6667,0.0,0.0,0.0,0.5714,0.35,0.5,0.6667,0.6667,0.375,0.25,1.0
12,0.75,0.5714,0.6,0.0,0.3333,0.5,0.0,0.0,0.5,1.0,0.1667,0.0,0.55,0.5,0.0,0.3333,0.375,0.25,0.6
13,0.375,0.3571,0.6,0.25,0.5,0.9167,1.0,0.0,0.5,1.0,0.0,0.4286,0.2,0.25,0.5,0.6667,0.5,0.5,0.4
14,0.125,0.5,0.4,0.0,0.5,0.75,1.0,1.0,0.0,0.5,0.0,0.4286,0.6,0.0,0.8333,0.6667,0.375,0.0,0.8
15,0.375,0.5,0.6,0.25,0.3333,0.8333,1.0,1.0,0.0,0.0,0.0,0.8571,0.65,0.0,0.5,0.3333,0.5,0.0,0.4
16,0.375,0.3571,0.8,1.0,0.5,0.5,1.0,0.3333,0.0,0.5,0.0,0.5714,0.7,0.25,0.3333,0.6667,0.125,0.25,0.4
17,0.625,0.5,0.4,0.25,0.3333,0.4167,0.5,0.0,0.5,0.0,0.0,0.4286,0.7,0.5,0.6667,0.3333,0.5,0.0,0.4
