id,CombAdj1,CombAdj2,CombAdj11,CombAdj12,CombAdj13,CombAdj14,CombAdj15,CombAdj16,CombAdj17,CombAdj18,CombAdj19,CombAdj3,CombAdj4,CombAdj5,CombAdj6,CombAdj7,CombAdj8,CombAdj9,CombAdj10
1,0.3253,0.3253,0.0651,0.0693,0.0559,0.3253,0.0,0.2286,0.0,0.2181,0.1574,0.1676,0.6506,0.2144,0.1152,0.0651,0.1224,0.0,0.1262
2,0.2807,0.2807,0.0421,0.0897,0.1085,0.421,0.0564,0.0,0.0,0.0,0.0,0.1447,0.7017,0.0925,0.1118,0.1264,0.0396,0.2711,0.1225
3,0.2977,0.4466,0.0894,0.0,0.2302,0.2233,0.1195,0.0,0.0,0.0,0.2162,0.3069,0.5955,0.0,0.1582,0.0894,0.1681,0.0,0.1733
4,0.0614,0.3685,0.0737,0.0785,0.0633,0.737,0.0986,0.0,0.1485,0.0,0.0892,0.3165,0.3685,0.0,0.0,0.0737,0.0,0.0,0.143
5,0.3999,0.3999,0.0686,0.073,0.0589,0.3999,0.0918,0.1606,0.0,0.0,0.1659,0.1767,0.5713,0.0753,0.1821,0.1372,0.0,0.1103,0.133
6,0.1096,0.6028,0.0,0.0,0.0565,0.274,0.0,0.0,0.0,0.0,0.0,0.1695,0.6576,0.2167,0.0582,0.0658,0.1238,0.1058,0.0638
7,0.1418,0.6615,0.0567,0.0604,0.0974,0.378,0.0,0.0,0.0,0.0951,0.1372,0.1461,0.567,0.0623,0.0502,0.0,0.0534,0.0,0.055
8,0.1666,0.6109,0.1334,0.0,0.1717,0.1666,0.0,0.1561,0.0,0.1117,0.4838,0.1717,0.3888,0.2197,0.059,0.0,0.0627,0.0,0.1293
9,0.1789,0.4919,0.0,0.0,0.0,0.2683,0.1436,0.1257,0.0,0.0,0.0649,0.2305,0.626,0.2358,0.095,0.0537,0.1515,0.2591,0.1041
10,0.2969,0.4751,0.1426,0.0759,0.2448,0.2375,0.0,0.0835,0.0,0.0,0.0862,0.3061,0.5938,0.0783,0.1893,0.0713,0.1341,0.1147,0.0691
11,0.3523,0.3523,0.0,0.075,0.3027,0.3523,0.0,0.1651,0.0,0.0,0.0,0.2421,0.4111,0.1549,0.2496,0.141,0.1989,0.1134,0.3419
