id,CombNoun1,CombNoun2,CombNoun11,CombNoun12,CombNoun13,CombNoun14,CombNoun15,CombNoun16,CombNoun17,CombNoun3,CombNoun4,CombNoun5,CombNoun6,CombNoun7,CombNoun8,CombNoun9,CombNoun10
1,3,2,0,1,0,25,0,0,2,5,8,3,14,2,3,2,7
2,4,2,1,2,0,27,0,1,1,0,14,6,6,2,4,1,4
3,0,2,0,1,0,22,0,1,2,5,4,2,7,1,1,4,6
4,2,1,0,0,2,27,1,1,1,3,7,0,9,2,1,1,7
5,1,2,4,0,0,32,0,1,1,3,7,1,9,1,0,1,6
6,4,3,2,1,1,33,1,0,1,2,5,2,9,0,1,3,1
7,1,2,2,0,1,31,0,0,0,2,11,0,8,2,1,6,5
8,0,3,2,0,1,32,0,0,1,3,8,2,4,2,4,1,5
9,2,2,2,2,0,29,1,0,1,0,9,2,4,1,1,3,4
10,3,1,0,0,0,30,0,1,3,8,11,1,5,2,0,1,3
11,2,4,2,1,0,28,1,2,0,3,10,2,6,3,0,1,7
12,2,2,2,0,1,33,0,3,1,2,13,1,9,1,4,2,0
13,2,0,5,0,0,26,1,0,1,7,6,5,10,0,2,2,8
14,3,2,2,0,0,34,0,1,3,8,8,1,8,0,2,2,5
15,3,2,1,0,0,28,2,1,1,8,7,1,7,0,2,1,8
16,3,5,2,0,0,23,0,0,0,4,6,0,4,3,2,2,3
17,1,3,2,2,1,24,0,1,0,4,9,0,9,3,3,1,8
18,1,1,1,0,2,31,3,1,1,1,11,2,8,1,4,1,6
19,0,1,0,1,2,22,1,0,1,4,7,3,5,0,2,0,4
20,1,1,2,2,0,33,0,1,1,2,6,1,8,2,4,1,6
21,3,3,0,1,2,28,1,1,2,5,6,0,3,1,3,1,7
22,4,0,3,1,1,22,1,0,2,1,10,0,6,0,3,2,8
23,4,1,0,3,1,20,3,0,1,6,11,1,5,0,1,0,8
24,4,3,1,1,1,20,1,1,0,5,4,5,4,1,2,2,5
25,1,0,0,0,0,21,0,1,2,7,3,2,6,1,2,1,9
26,2,2,1,1,0,27,1,0,0,3,7,0,8,1,1,0,6
27,1,5,5,1,0,31,0,0,1,1,7,1,10,3,1,1,6
28,0,1,2,0,2,27,1,0,1,4,14,5,7,1,3,2,5
29,2,3,2,0,0,21,1,0,1,1,6,0,3,3,1,2,4
30,2,1,0,0,0,25,0,0,0,5,12,0,8,2,1,0,3
31,2,1,0,0,1,25,0,0,0,0,11,0,7,2,4,1,7
32,1,3,0,3,0,36,0,2,0,5,4,2,12,1,3,1,5
