id,CombNoun1,CombNoun2,CombNoun11,CombNoun12,CombNoun13,CombNoun14,CombNoun15,CombNoun16,CombNoun17,CombNoun3,CombNoun4,CombNoun5,CombNoun6,CombNoun7,CombNoun8,CombNoun9,CombNoun10
1,0.75,0.4,0.0,0.3333,0.0,0.6944,0.0,0.0,0.6667,0.625,0.5714,0.5,1.0,0.6667,0.75,0.3333,0.7778
2,1.0,0.4,0.2,0.6667,0.0,0.75,0.0,0.3333,0.3333,0.0,1.0,1.0,0.4286,0.6667,1.0,0.1667,0.4444
3,0.0,0.4,0.0,0.3333,0.0,0.6111,0.0,0.3333,0.6667,0.625,0.2857,0.3333,0.5,0.3333,0.25,0.6667,0.6667
4,0.5,0.2,0.0,0.0,1.0,0.75,0.3333,0.3333,0.3333,0.375,0.5,0.0,0.6429,0.6667,0.25,0.1667,0.7778
5,0.25,0.4,0.8,0.0,0.0,0.8889,0.0,0.3333,0.3333,0.375,0.5,0.1667,0.6429,0.3333,0.0,0.1667,0.6667
6,1.0,0.6,0.4,0.3333,0.5,0.9167,0.3333,0.0,0.3333,0.25,0.3571,0.3333,0.6429,0.0,0.25,0.5,0.1111
7,0.25,0.4,0.4,0.0,0.5,0.8611,0.0,0.0,0.0,0.25,0.7857,0.0,0.5714,0.6667,0.25,1.0,0.5556
8,0.0,0.6,0.4,0.0,0.5,0.8889,0.0,0.0,0.3333,0.375,0.5714,0.3333,0.2857,0.6667,1.0,0.1667,0.5556
9,0.5,0.4,0.4,0.6667,0.0,0.8056,0.3333,0.0,0.3333,0.0,0.6429,0.3333,0.2857,0.3333,0.25,0.5,0.4444
10,0.75,0.2,0.0,0.0,0.0,0.8333,0.0,0.3333,1.0,1.0,0.7857,0.1667,0.3571,0.6667,0.0,0.1667,0.3333
11,0.5,0.8,0.4,0.3333,0.0,0.7778,0.3333,0.6667,0.0,0.375,0.7143,0.3333,0.4286,1.0,0.0,0.1667,0.7778
12,0.5,0.4,0.4,0.0,0.5,0.9167,0.0,1.0,0.3333,0.25,0.9286,0.1667,0.6429,0.3333,1.0,0.3333,0.0
13,0.5,0.0,1.0,0.0,0.0,0.7222,0.3333,0.0,0.3333,0.875,0.4286,0.8333,0.7143,0.0,0.5,0.3333,0.8889
14,0.75,0.4,0.4,0.0,0.0,0.9444,0.0,0.3333,1.0,1.0,0.5714,0.1667,0.5714,0.0,0.5,0.3333,0.5556
15,0.75,0.4,0.2,0.0,0.0,0.7778,0.6667,0.3333,0.3333,1.0,0.5,0.1667,0.5,0.0,0.5,0.1667,0.8889
16,0.75,1.0,0.4,0.0,0.0,0.6389,0.0,0.0,0.0,0.5,0.4286,0.0,0.2857,1.0,0.5,0.3333,0.3333
17,0.25,0.6,0.4,0.6667,0.5,0.6667,0.0,0.3333,0.0,0.5,0.6429,0.0,0.6429,1.0,0.75,0.1667,0.8889
18,0.25,0.2,0.2,0.0,1.0,0.8611,1.0,0.3333,0.3333,0.125,0.7857,0.3333,0.5714,0.3333,1.0,0.1667,0.6667
19,0.0,0.2,0.0,0.3333,1.0,0.6111,0.3333,0.0,0.3333,0.5,0.5,0.5,0.3571,0.0,0.5,0.0,0.4444
20,0.25,0.2,0.4,0.6667,0.0,0.9167,0.0,0.3333,0.3333,0.25,0.4286,0.1667,0.5714,0.6667,1.0,0.1667,0.6667
21,0.75,0.6,0.0,0.3333,1.0,0.7778,0.3333,0.3333,0.6667,0.625,0.4286,0.0,0.2143,0.3333,0.75,0.1667,0.7778
22,1.0,0.0,0.6,0.3333,0.5,0.6111,0.3333,0.0,0.6667,0.125,0.7143,0.0,0.4286,0.0,0.75,0.3333,0.8889
23,1.0,0.2,0.0,1.0,0.5,0.5556,1.0,0.0,0.3333,0.75,0.7857,0.1667,0.3571,0.0,0.25,0.0,0.8889
24,1.0,0.6,0.2,0.3333,0.5,0.5556,0.3333,0.3333,0.0,0.625,0.2857,0.8333,0.2857,0.3333,0.5,0.3333,0.5556
25,0.25,0.0,0.0,0.0,0.0,0.5833,0.0,0.3333,0.6667,0.875,0.2143,0.3333,0.4286,0.3333,0.5,0.1667,1.0
26,0.5,0.4,0.2,0.3333,0.0,0.75,0.3333,0.0,0.0,0.375,0.5,0.0,0.5714,0.3333,0.25,0.0,0.6667
27,0.25,1.0,1.0,0.3333,0.0,0.8611,0.0,0.0,0.3333,0.125,0.5,0.1667,0.7143,1.0,0.25,0.1667,0.6667
28,0.0,0.2,0.4,0.0,1.0,0.75,0.3333,0.0,0.3333,0.5,1.0,0.8333,0.5,0.3333,0.75,0.3333,0.5556
29,0.5,0.6,0.4,0.0,0.0,0.5833,0.3333,0.0,0.3333,0.125,0.4286,0.0,0.2143,1.0,0.25,0.3333,0.4444
30,0.5,0.2,0.0,0.0,0.0,0.6944,0.0,0.0,0.0,0.625,0.8571,0.0,0.5714,0.6667,0.25,0.0,0.3333
31,0.5,0.2,0.0,0.0,0.5,0.6944,0.0,0.0,0.0,0.0,0.7857,0.0,0.5,0.6667,1.0,0.1667,0.7778
32,0.25,0.6,0.0,1.0,0.0,1.0,0.0,0.6667,0.0,0.625,0.2857,0.3333,0.8571,0.3333,0.75,0.1667,0.5556
