id,CombNoun1,CombNoun2,CombNoun11,CombNoun12,CombNoun13,CombNoun14,CombNoun15,CombNoun16,CombNoun17,CombNoun3,CombNoun4,CombNoun5,CombNoun6,CombNoun7,CombNoun8,CombNoun9,CombNoun10
1,0.1055,0.0682,0.0,0.0518,0.0,0.7783,0.0,0.0,0.0821,0.1705,0.2491,0.1271,0.4359,0.0771,0.1023,0.0703,0.2246
2,0.1353,0.0656,0.0421,0.0997,0.0,0.8089,0.0,0.0498,0.0395,0.0,0.4194,0.2447,0.1798,0.0742,0.1313,0.0338,0.1235
3,0.0,0.0849,0.0,0.0645,0.0,0.8531,0.0,0.0645,0.1022,0.2124,0.1551,0.1055,0.2714,0.048,0.0425,0.1751,0.2398
4,0.073,0.0354,0.0,0.0,0.1156,0.8728,0.0557,0.0538,0.0426,0.1062,0.2263,0.0,0.2909,0.0801,0.0354,0.0365,0.2332
5,0.0319,0.062,0.159,0.0,0.0,0.9051,0.0,0.047,0.0373,0.0929,0.198,0.0385,0.2546,0.035,0.0,0.0319,0.1749
6,0.1267,0.0922,0.0789,0.0467,0.0502,0.9257,0.0484,0.0,0.037,0.0615,0.1403,0.0764,0.2525,0.0,0.0307,0.095,0.0289
7,0.032,0.062,0.0796,0.0,0.0506,0.8776,0.0,0.0,0.0,0.062,0.3114,0.0,0.2265,0.0701,0.031,0.1918,0.1459
8,0.0,0.0949,0.0812,0.0,0.0516,0.9241,0.0,0.0,0.0381,0.0949,0.231,0.0786,0.1155,0.0715,0.1265,0.0326,0.1488
9,0.0711,0.0689,0.0884,0.1047,0.0,0.9124,0.0542,0.0,0.0415,0.0,0.2832,0.0856,0.1259,0.039,0.0345,0.1066,0.1297
10,0.0989,0.032,0.0,0.0,0.0,0.8761,0.0,0.0486,0.1155,0.2559,0.3212,0.0397,0.146,0.0723,0.0,0.033,0.0903
11,0.0696,0.1349,0.0866,0.0512,0.0,0.8623,0.0531,0.1024,0.0,0.1012,0.308,0.0838,0.1848,0.1144,0.0,0.0348,0.2222
12,0.06,0.0582,0.0746,0.0,0.0475,0.876,0.0,0.1325,0.035,0.0582,0.3451,0.0361,0.2389,0.0329,0.1163,0.06,0.0
13,0.0696,0.0,0.2164,0.0,0.0,0.8008,0.0531,0.0,0.0406,0.2361,0.1848,0.2096,0.308,0.0,0.0675,0.0696,0.254
14,0.0892,0.0577,0.074,0.0,0.0,0.8955,0.0,0.0438,0.1042,0.2308,0.2107,0.0358,0.2107,0.0,0.0577,0.0595,0.1357
15,0.1036,0.067,0.043,0.0,0.0,0.8562,0.1054,0.0509,0.0403,0.268,0.2141,0.0416,0.2141,0.0,0.067,0.0345,0.2522
16,0.1296,0.2096,0.1076,0.0,0.0,0.8802,0.0,0.0,0.0,0.1677,0.2296,0.0,0.1531,0.1422,0.0838,0.0864,0.1183
17,0.0379,0.1103,0.0943,0.1116,0.06,0.8054,0.0,0.0558,0.0,0.147,0.302,0.0,0.302,0.1247,0.1103,0.0379,0.2767
18,0.0318,0.0308,0.0395,0.0,0.1006,0.8722,0.1455,0.0468,0.0371,0.0308,0.3095,0.0766,0.2251,0.0348,0.1233,0.0318,0.174
19,0.0,0.0434,0.0,0.0659,0.1417,0.8716,0.0683,0.0,0.0522,0.1736,0.2773,0.1618,0.1981,0.0,0.0868,0.0,0.1633
20,0.0315,0.0305,0.0784,0.0927,0.0,0.9201,0.0,0.0464,0.0368,0.0611,0.1673,0.0379,0.223,0.0691,0.1222,0.0315,0.1724
21,0.1085,0.1052,0.0,0.0533,0.1145,0.8966,0.0552,0.0533,0.0844,0.1754,0.1921,0.0,0.0961,0.0397,0.1052,0.0362,0.2311
22,0.1639,0.0,0.153,0.0604,0.0649,0.7985,0.0626,0.0,0.0957,0.0398,0.3629,0.0,0.2178,0.0,0.1193,0.082,0.2993
23,0.1662,0.0403,0.0,0.1836,0.0658,0.736,0.1903,0.0,0.0485,0.2418,0.4048,0.0501,0.184,0.0,0.0403,0.0,0.3035
24,0.1858,0.1351,0.0578,0.0684,0.0736,0.8226,0.0709,0.0684,0.0,0.2252,0.1645,0.2799,0.1645,0.0509,0.0901,0.0929,0.212
25,0.0441,0.0,0.0,0.0,0.0,0.8194,0.0,0.0649,0.1029,0.2992,0.1171,0.1062,0.2341,0.0483,0.0855,0.0441,0.362
26,0.0748,0.0726,0.0466,0.0551,0.0,0.8944,0.0571,0.0,0.0,0.1088,0.2319,0.0,0.265,0.041,0.0363,0.0,0.2049
27,0.0319,0.1547,0.1985,0.047,0.0,0.8759,0.0,0.0,0.0373,0.0309,0.1978,0.0385,0.2825,0.105,0.0309,0.0319,0.1747
28,0.0,0.0329,0.0844,0.0,0.1074,0.8104,0.0517,0.0,0.0396,0.1315,0.4202,0.2042,0.2101,0.0372,0.0986,0.0678,0.1547
29,0.0961,0.1398,0.1196,0.0,0.0,0.8932,0.0733,0.0,0.0561,0.0466,0.2552,0.0,0.1276,0.158,0.0466,0.0961,0.1754
30,0.0759,0.0368,0.0,0.0,0.0,0.8398,0.0,0.0,0.0,0.184,0.4031,0.0,0.2687,0.0832,0.0368,0.0,0.1039
31,0.076,0.0369,0.0,0.0,0.0602,0.8412,0.0,0.0,0.0,0.0,0.3701,0.0,0.2355,0.0833,0.1474,0.038,0.2428
32,0.0284,0.0826,0.0,0.1255,0.0,0.9052,0.0,0.0836,0.0,0.1377,0.1006,0.0684,0.3017,0.0311,0.0826,0.0284,0.1296
