id,ConstAdj1,ConstAdj2,ConstAdj3,ConstAdj4,ConstAdj5,ConstAdj6,ConstAdj7,ConstAdj8,ConstAdj9,ConstAdj10
0.0312,0.6111,0.6,0.3333,1.0,0.0,0.25,0.2,0.0,1.0,0.3333
0.0625,0.8889,0.2,0.0,0.0,0.0,0.75,0.2,0.25,0.0,0.0
0.0938,0.4444,0.2,0.0,0.0,0.5,0.25,0.4,0.0,0.0,0.1667
0.125,0.3889,0.2,0.3333,0.0,0.25,1.0,0.2,0.0,0.0,0.1667
0.1562,0.6667,0.2,0.0,0.5,0.5,0.25,0.0,0.0,0.0,0.1667
0.1875,0.6667,0.0,0.0,1.0,0.25,0.25,0.2,0.0,0.0,0.3333
0.2188,0.3889,0.4,0.0,0.5,0.0,0.625,0.2,0.25,0.0,0.0
0.25,0.4444,1.0,0.0,1.0,0.25,0.125,0.4,0.0,0.0,0.0
0.2812,1.0,0.2,0.0,1.0,0.0,0.375,0.0,0.0,0.0,0.5
0.3125,0.4444,0.4,0.3333,0.0,0.5,0.25,0.8,0.25,0.0,0.3333
0.3438,0.5,0.4,0.0,0.5,0.5,0.25,0.8,0.25,0.0,0.3333
0.375,0.5,0.6,1.0,0.5,0.0,0.375,0.4,0.0,1.0,0.0
0.4062,0.3889,0.2,0.3333,0.0,0.75,0.75,0.2,0.0,1.0,0.5
0.4375,0.4444,0.0,0.3333,0.0,1.0,0.625,0.6,0.0,0.0,0.1667
0.4688,0.6111,0.4,0.6667,0.0,0.75,0.75,0.4,0.0,0.0,0.3333
0.5,0.6667,0.0,1.0,0.0,0.25,0.375,0.4,1.0,1.0,0.3333
0.5312,0.3889,0.2,0.3333,0.0,0.5,0.375,0.4,0.0,0.0,0.3333
0.5625,0.5556,0.4,0.0,0.0,0.25,0.375,0.4,0.0,1.0,0.1667
0.5938,0.5556,0.4,0.3333,0.0,0.5,0.25,0.2,0.5,0.0,0.1667
0.625,0.4444,0.4,0.0,0.5,0.25,0.25,0.2,0.0,0.0,0.0
0.6562,0.5,0.4,0.0,0.0,0.75,0.625,0.6,0.25,0.0,0.1667
0.6875,0.4444,0.0,0.0,0.0,0.75,0.25,0.6,0.25,0.0,0.5
0.7188,0.8333,0.2,0.3333,0.5,0.25,0.5,1.0,0.0,0.0,1.0
0.75,0.5,0.2,0.0,0.0,0.5,0.375,0.2,0.0,0.0,0.0
0.7812,0.5556,0.4,0.3333,1.0,0.5,0.5,0.8,0.0,0.0,0.1667
0.8125,0.6111,0.2,0.3333,0.0,0.25,0.25,0.2,0.25,1.0,0.1667
0.8438,0.5,0.2,0.3333,0.5,0.5,0.375,0.4,0.25,1.0,0.1667
0.875,0.7222,0.2,0.3333,0.0,0.0,0.5,0.4,0.0,0.0,0.1667
0.9062,0.2778,0.2,0.3333,1.0,0.25,0.625,0.0,0.0,1.0,0.3333
0.9375,0.5,0.6,0.3333,0.0,0.25,0.5,0.4,0.25,0.0,0.3333
0.9688,0.4444,0.6,0.0,0.0,0.25,0.875,0.0,0.5,0.0,0.1667
1.0,0.6667,0.4,0.0,0.0,0.0,0.125,0.2,0.25,0.0,0.1667
