id,ConstAdj1,ConstAdj2,ConstAdj3,ConstAdj4,ConstAdj5,ConstAdj6,ConstAdj7,ConstAdj8,ConstAdj9,ConstAdj10
1,0.8559,0.2636,0.125,0.289,0.0,0.1556,0.0879,0.0,0.1789,0.1868
2,0.9269,0.0654,0.0,0.0,0.0,0.3476,0.0654,0.1076,0.0,0.0
3,0.8837,0.1247,0.0,0.0,0.2736,0.2209,0.2495,0.0,0.0,0.1326
4,0.6361,0.1026,0.1459,0.0,0.1125,0.727,0.1026,0.0,0.0,0.1091
5,0.9478,0.0892,0.0,0.1467,0.1956,0.158,0.0,0.0,0.0,0.0948
6,0.9193,0.0,0.0,0.2846,0.0949,0.1532,0.0865,0.0,0.0,0.184
7,0.7493,0.2417,0.0,0.1988,0.0,0.5352,0.1209,0.1988,0.0,0.0
8,0.7386,0.5213,0.0,0.343,0.1143,0.0923,0.2085,0.0,0.0,0.0
9,0.9473,0.0594,0.0,0.1955,0.0,0.1579,0.0,0.0,0.0,0.1896
10,0.7578,0.2139,0.1522,0.0,0.2346,0.1895,0.4279,0.176,0.0,0.2275
11,0.7915,0.1986,0.0,0.1633,0.2178,0.1759,0.3972,0.1633,0.0,0.2112
12,0.7647,0.2878,0.4094,0.1578,0.0,0.2549,0.1919,0.0,0.1954,0.0
13,0.6332,0.1022,0.1453,0.0,0.3361,0.5428,0.1022,0.0,0.208,0.3259
14,0.7043,0.0,0.1414,0.0,0.4361,0.4402,0.2982,0.0,0.0,0.1057
15,0.7835,0.1609,0.2288,0.0,0.2646,0.4274,0.1609,0.0,0.0,0.171
16,0.7603,0.0,0.3053,0.0,0.0785,0.1901,0.1431,0.4707,0.1457,0.1521
17,0.7883,0.1272,0.1809,0.0,0.2789,0.3378,0.2543,0.0,0.0,0.2704
18,0.8857,0.2,0.0,0.0,0.1097,0.2657,0.2,0.0,0.2037,0.1063
19,0.8628,0.1949,0.1386,0.0,0.2137,0.1726,0.0974,0.3205,0.0,0.1036
20,0.898,0.2535,0.0,0.2085,0.139,0.2245,0.1268,0.0,0.0,0.0
21,0.7572,0.19,0.0,0.0,0.3126,0.4207,0.285,0.1563,0.0,0.101
22,0.7638,0.0,0.0,0.0,0.3547,0.1909,0.3234,0.1773,0.0,0.3439
23,0.8212,0.0618,0.0879,0.1017,0.0678,0.219,0.3091,0.0,0.0,0.3944
24,0.906,0.1137,0.0,0.0,0.2493,0.302,0.1137,0.0,0.0,0.0
25,0.7774,0.1756,0.1249,0.2888,0.1926,0.311,0.3511,0.0,0.0,0.0933
26,0.9236,0.0948,0.1349,0.0,0.104,0.1679,0.0948,0.156,0.1931,0.1008
27,0.826,0.1036,0.1474,0.1705,0.2273,0.2753,0.2073,0.1705,0.211,0.1102
28,0.93,0.0808,0.1149,0.0,0.0,0.2862,0.1616,0.0,0.0,0.0859
29,0.5582,0.1261,0.1793,0.4147,0.1382,0.5582,0.0,0.0,0.2567,0.2681
30,0.7989,0.3007,0.1426,0.0,0.1099,0.3551,0.2005,0.1649,0.0,0.2132
31,0.6731,0.285,0.0,0.0,0.1042,0.589,0.0,0.3126,0.0,0.101
32,0.9599,0.1807,0.0,0.0,0.0,0.08,0.0903,0.1486,0.0,0.096
