id,concept_0,concept_1,concept_2,concept_3,concept_4,concept_5,concept_6,concept_7,concept_8
1,8,1,3,3,9,1,1,3,0
2,4,2,2,0,16,5,1,4,1
3,7,0,1,3,13,1,1,1,0
4,5,0,3,2,14,0,0,0,0
5,7,0,2,4,18,0,0,1,0
6,7,2,1,1,17,1,1,1,0
7,5,2,2,1,13,0,0,3,0
8,3,0,1,2,19,0,0,0,1
9,3,2,4,0,13,2,2,2,0
10,6,0,3,2,14,0,0,3,0
11,5,2,3,2,19,2,1,2,0
12,5,3,0,1,19,0,0,4,1
13,5,3,4,5,13,0,0,2,2
14,7,1,3,4,13,0,0,1,1
15,6,1,4,5,15,0,0,2,0
16,5,1,2,2,16,0,0,3,0
17,4,3,3,5,18,0,0,2,1
18,3,2,2,0,17,0,0,2,2
19,3,0,1,2,11,1,0,1,2
20,5,2,3,3,18,1,1,2,3
21,5,1,2,4,16,0,1,0,2
22,6,2,3,1,9,0,1,3,3
23,6,0,5,2,13,0,3,3,1
24,1,2,0,3,11,3,1,0,1
25,4,0,6,2,11,0,0,1,1
26,2,1,2,3,12,0,1,1,0
27,9,2,3,1,15,0,1,1,1
28,6,1,1,1,22,1,0,3,2
29,2,0,1,0,12,0,0,2,0
30,5,0,2,2,14,0,0,3,0
31,4,1,2,2,17,0,0,4,0
32,5,0,0,4,11,2,2,2,0
