id,FreeAdj1,FreeAdj2,FreeAdj11,FreeAdj3,FreeAdj4,FreeAdj5,FreeAdj6,FreeAdj7,FreeAdj8,FreeAdj9,FreeAdj10
1,2,5,1,3,1,1,0,4,1,1,0
2,5,5,0,5,2,1,1,6,0,2,1
3,3,0,0,5,1,0,1,1,0,1,1
4,3,1,0,4,0,1,0,4,0,0,0
5,2,5,0,3,1,1,3,5,0,1,0
6,1,6,0,5,1,0,1,3,0,0,0
7,3,11,0,3,1,0,2,3,1,0,1
8,2,9,0,1,1,0,1,2,1,0,2
9,1,8,1,3,1,0,2,3,0,1,0
10,1,3,1,5,0,0,2,2,1,1,0
11,3,7,0,1,2,0,2,4,0,2,0
12,1,4,0,3,0,0,1,3,3,0,0
13,2,4,0,3,1,1,0,5,2,1,2
14,3,7,0,6,2,0,0,4,2,1,1
15,4,4,0,7,1,1,1,4,3,1,1
16,2,3,1,3,1,0,1,3,0,1,1
17,0,5,0,9,1,1,1,2,2,2,1
18,4,2,1,3,1,1,2,5,1,1,0
19,3,4,0,3,2,1,1,1,1,1,1
20,0,4,0,5,0,1,2,5,0,0,1
21,2,2,0,6,0,1,3,4,3,0,0
22,4,5,0,6,0,0,2,1,2,3,2
23,2,5,1,3,1,0,1,1,4,3,1
24,5,3,1,2,3,2,0,6,0,1,0
25,3,5,0,1,0,1,3,4,2,1,4
26,2,4,0,2,2,1,1,5,1,1,0
27,1,8,0,5,1,1,2,1,0,0,0
28,4,4,0,3,2,1,2,3,0,2,1
29,1,9,1,4,2,0,3,3,0,0,0
30,1,4,0,6,0,0,1,3,0,0,0
31,3,6,2,5,0,0,1,1,2,1,0
32,1,5,0,5,0,0,1,3,1,1,1
