id,FreeAdj1,FreeAdj2,FreeAdj11,FreeAdj3,FreeAdj4,FreeAdj5,FreeAdj6,FreeAdj7,FreeAdj8,FreeAdj9,FreeAdj10
0.0312,0.4,0.4545,0.5,0.3333,0.3333,0.5,0.0,0.6667,0.25,0.3333,0.0
0.0625,1.0,0.4545,0.0,0.5556,0.6667,0.5,0.3333,1.0,0.0,0.6667,0.25
0.0938,0.6,0.0,0.0,0.5556,0.3333,0.0,0.3333,0.1667,0.0,0.3333,0.25
0.125,0.6,0.0909,0.0,0.4444,0.0,0.5,0.0,0.6667,0.0,0.0,0.0
0.1562,0.4,0.4545,0.0,0.3333,0.3333,0.5,1.0,0.8333,0.0,0.3333,0.0
0.1875,0.2,0.5455,0.0,0.5556,0.3333,0.0,0.3333,0.5,0.0,0.0,0.0
0.2188,0.6,1.0,0.0,0.3333,0.3333,0.0,0.6667,0.5,0.25,0.0,0.25
0.25,0.4,0.8182,0.0,0.1111,0.3333,0.0,0.3333,0.3333,0.25,0.0,0.5
0.2812,0.2,0.7273,0.5,0.3333,0.3333,0.0,0.6667,0.5,0.0,0.3333,0.0
0.3125,0.2,0.2727,0.5,0.5556,0.0,0.0,0.6667,0.3333,0.25,0.3333,0.0
0.3438,0.6,0.6364,0.0,0.1111,0.6667,0.0,0.6667,0.6667,0.0,0.6667,0.0
0.375,0.2,0.3636,0.0,0.3333,0.0,0.0,0.3333,0.5,0.75,0.0,0.0
0.4062,0.4,0.3636,0.0,0.3333,0.3333,0.5,0.0,0.8333,0.5,0.3333,0.5
0.4375,0.6,0.6364,0.0,0.6667,0.6667,0.0,0.0,0.6667,0.5,0.3333,0.25
0.4688,0.8,0.3636,0.0,0.7778,0.3333,0.5,0.3333,0.6667,0.75,0.3333,0.25
0.5,0.4,0.2727,0.5,0.3333,0.3333,0.0,0.3333,0.5,0.0,0.3333,0.25
0.5312,0.0,0.4545,0.0,1.0,0.3333,0.5,0.3333,0.3333,0.5,0.6667,0.25
0.5625,0.8,0.1818,0.5,0.3333,0.3333,0.5,0.6667,0.8333,0.25,0.3333,0.0
0.5938,0.6,0.3636,0.0,0.3333,0.6667,0.5,0.3333,0.1667,0.25,0.3333,0.25
0.625,0.0,0.3636,0.0,0.5556,0.0,0.5,0.6667,0.8333,0.0,0.0,0.25
0.6562,0.4,0.1818,0.0,0.6667,0.0,0.5,1.0,0.6667,0.75,0.0,0.0
0.6875,0.8,0.4545,0.0,0.6667,0.0,0.0,0.6667,0.1667,0.5,1.0,0.5
0.7188,0.4,0.4545,0.5,0.3333,0.3333,0.0,0.3333,0.1667,1.0,1.0,0.25
0.75,1.0,0.2727,0.5,0.2222,1.0,1.0,0.0,1.0,0.0,0.3333,0.0
0.7812,0.6,0.4545,0.0,0.1111,0.0,0.5,1.0,0.6667,0.5,0.3333,1.0
0.8125,0.4,0.3636,0.0,0.2222,0.6667,0.5,0.3333,0.8333,0.25,0.3333,0.0
0.8438,0.2,0.7273,0.0,0.5556,0.3333,0.5,0.6667,0.1667,0.0,0.0,0.0
0.875,0.8,0.3636,0.0,0.3333,0.6667,0.5,0.6667,0.5,0.0,0.6667,0.25
0.9062,0.2,0.8182,0.5,0.4444,0.6667,0.0,1.0,0.5,0.0,0.0,0.0
0.9375,0.2,0.3636,0.0,0.6667,0.0,0.0,0.3333,0.5,0.0,0.0,0.0
0.9688,0.6,0.5455,1.0,0.5556,0.0,0.0,0.3333,0.1667,0.5,0.3333,0.0
1.0,0.2,0.4545,0.0,0.5556,0.0,0.0,0.3333,0.5,0.25,0.3333,0.25
