id,FreeAdj1,FreeAdj2,FreeAdj11,FreeAdj3,FreeAdj4,FreeAdj5,FreeAdj6,FreeAdj7,FreeAdj8,FreeAdj9,FreeAdj10
1,0.2544,0.617,0.2627,0.3592,0.1629,0.1991,0.0,0.4789,0.1858,0.1629,0.0
2,0.4531,0.4395,0.0,0.4264,0.2321,0.1418,0.0993,0.5117,0.0,0.2321,0.1418
3,0.4806,0.0,0.0,0.7539,0.2052,0.0,0.1756,0.1508,0.0,0.2052,0.2508
4,0.47,0.152,0.0,0.5898,0.0,0.2453,0.0,0.5898,0.0,0.0,0.0
5,0.2322,0.5632,0.0,0.3278,0.1487,0.1818,0.3817,0.5464,0.0,0.1487,0.0
6,0.1214,0.7067,0.0,0.5713,0.1555,0.0,0.133,0.3428,0.0,0.0,0.0
7,0.2451,0.8717,0.0,0.2307,0.1046,0.0,0.179,0.2307,0.1193,0.0,0.1279
8,0.2006,0.8756,0.0,0.0944,0.1285,0.0,0.1099,0.1888,0.1465,0.0,0.314
9,0.1057,0.8202,0.2182,0.2984,0.1354,0.0,0.2316,0.2984,0.0,0.1354,0.0
10,0.1443,0.4201,0.298,0.6792,0.0,0.0,0.3163,0.2717,0.2108,0.1849,0.0
11,0.3196,0.7235,0.0,0.1003,0.2729,0.0,0.2335,0.4011,0.0,0.2729,0.0
12,0.1381,0.536,0.0,0.39,0.0,0.0,0.1514,0.39,0.6053,0.0,0.0
13,0.2337,0.4534,0.0,0.3299,0.1497,0.1829,0.0,0.5499,0.3414,0.1497,0.3658
14,0.2734,0.619,0.0,0.5147,0.2335,0.0,0.0,0.3431,0.2663,0.1168,0.1427
15,0.3695,0.3584,0.0,0.6085,0.1183,0.1446,0.1012,0.3477,0.4048,0.1183,0.1446
16,0.3178,0.4624,0.3281,0.4486,0.2035,0.0,0.1741,0.4486,0.0,0.2035,0.2487
17,0.0,0.4398,0.0,0.7679,0.1161,0.1419,0.0993,0.1707,0.2649,0.2323,0.1419
18,0.4894,0.2374,0.2526,0.3454,0.1567,0.1915,0.2681,0.5757,0.1787,0.1567,0.0
19,0.427,0.5524,0.0,0.4019,0.3647,0.2228,0.156,0.134,0.2079,0.1823,0.2228
20,0.0,0.467,0.0,0.5663,0.0,0.1884,0.2637,0.5663,0.0,0.0,0.1884
21,0.2153,0.2089,0.0,0.6079,0.0,0.1685,0.3539,0.4053,0.4718,0.0,0.0
22,0.381,0.462,0.0,0.5379,0.0,0.0,0.2088,0.0897,0.2783,0.366,0.2982
23,0.2054,0.4981,0.212,0.2899,0.1315,0.0,0.1125,0.0966,0.6,0.3946,0.1607
24,0.5016,0.2919,0.2071,0.1888,0.3855,0.3141,0.0,0.5665,0.0,0.1285,0.0
25,0.2857,0.462,0.0,0.0896,0.0,0.1491,0.3131,0.3586,0.2783,0.122,0.5964
26,0.261,0.5063,0.0,0.2456,0.3343,0.2043,0.143,0.614,0.1906,0.1671,0.0
27,0.1036,0.8041,0.0,0.4876,0.1327,0.1622,0.2271,0.0975,0.0,0.0,0.0
28,0.4787,0.4644,0.0,0.3379,0.3066,0.1873,0.2623,0.3379,0.0,0.3066,0.1873
29,0.0909,0.7937,0.1877,0.3422,0.2329,0.0,0.2988,0.2567,0.0,0.0,0.0
30,0.1323,0.5134,0.0,0.7472,0.0,0.0,0.145,0.3736,0.0,0.0,0.0
31,0.3089,0.5993,0.4252,0.4845,0.0,0.0,0.1128,0.0969,0.3008,0.1319,0.0
32,0.1269,0.6157,0.0,0.5973,0.0,0.0,0.1391,0.3584,0.1854,0.1626,0.1987
