id,FreeNoun1,FreeNoun2,FreeNoun11,FreeNoun12,FreeNoun3,FreeNoun4,FreeNoun5,FreeNoun6,FreeNoun7,FreeNoun8,FreeNoun9,FreeNoun10
1,2,6,0,4,14,1,3,0,1,3,0,6
2,0,3,0,3,10,2,2,0,0,0,2,3
3,0,4,0,2,7,0,2,1,1,3,0,2
4,0,5,0,3,10,0,0,1,0,1,0,4
5,0,3,0,1,12,0,0,0,1,0,0,4
6,0,1,0,2,16,0,2,0,2,1,0,2
7,3,2,0,3,15,3,1,0,0,1,0,2
8,1,4,0,3,13,2,3,1,0,1,1,1
9,1,1,0,5,13,0,2,0,1,0,2,1
10,1,1,0,4,16,0,1,1,1,5,0,1
11,0,4,1,4,8,2,0,1,0,1,1,4
12,0,0,1,4,14,1,2,2,0,1,0,3
13,1,4,0,3,12,0,1,0,2,3,0,5
14,1,3,0,5,16,0,1,1,2,4,1,4
15,0,3,0,2,12,0,1,1,1,3,1,2
16,0,1,1,1,5,3,2,0,1,2,2,1
17,0,4,0,3,9,2,2,0,0,1,1,6
18,1,4,0,3,10,1,3,0,1,1,0,5
19,1,2,0,5,9,0,0,0,0,2,0,3
20,1,2,0,2,12,0,1,2,0,1,0,1
21,0,5,1,3,9,0,0,1,1,1,0,2
22,1,4,0,3,10,0,1,0,1,0,0,1
23,0,4,1,3,9,0,0,0,2,4,0,1
24,1,4,0,2,10,1,1,0,1,3,0,3
25,1,4,0,1,6,0,1,0,1,4,0,2
26,0,3,0,2,14,1,1,0,0,1,0,4
27,1,2,0,3,12,0,2,1,2,1,2,4
28,1,4,0,5,8,0,2,0,0,3,1,2
29,0,3,1,1,7,4,4,0,0,1,0,1
30,0,1,0,4,12,1,0,1,1,3,0,3
31,0,4,1,3,10,1,2,0,0,0,1,4
32,0,4,0,2,20,0,2,0,0,1,2,7
