id,FreeNoun1,FreeNoun2,FreeNoun11,FreeNoun12,FreeNoun3,FreeNoun4,FreeNoun5,FreeNoun6,FreeNoun7,FreeNoun8,FreeNoun9,FreeNoun10
0.0312,0.6667,1.0,0.0,0.8,0.7,0.25,0.75,0.0,0.5,0.6,0.0,0.8571
0.0625,0.0,0.5,0.0,0.6,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.4286
0.0938,0.0,0.6667,0.0,0.4,0.35,0.0,0.5,0.5,0.5,0.6,0.0,0.2857
0.125,0.0,0.8333,0.0,0.6,0.5,0.0,0.0,0.5,0.0,0.2,0.0,0.5714
0.1562,0.0,0.5,0.0,0.2,0.6,0.0,0.0,0.0,0.5,0.0,0.0,0.5714
0.1875,0.0,0.1667,0.0,0.4,0.8,0.0,0.5,0.0,1.0,0.2,0.0,0.2857
0.2188,1.0,0.3333,0.0,0.6,0.75,0.75,0.25,0.0,0.0,0.2,0.0,0.2857
0.25,0.3333,0.6667,0.0,0.6,0.65,0.5,0.75,0.5,0.0,0.2,0.5,0.1429
0.2812,0.3333,0.1667,0.0,1.0,0.65,0.0,0.5,0.0,0.5,0.0,1.0,0.1429
0.3125,0.3333,0.1667,0.0,0.8,0.8,0.0,0.25,0.5,0.5,1.0,0.0,0.1429
0.3438,0.0,0.6667,1.0,0.8,0.4,0.5,0.0,0.5,0.0,0.2,0.5,0.5714
0.375,0.0,0.0,1.0,0.8,0.7,0.25,0.5,1.0,0.0,0.2,0.0,0.4286
0.4062,0.3333,0.6667,0.0,0.6,0.6,0.0,0.25,0.0,1.0,0.6,0.0,0.7143
0.4375,0.3333,0.5,0.0,1.0,0.8,0.0,0.25,0.5,1.0,0.8,0.5,0.5714
0.4688,0.0,0.5,0.0,0.4,0.6,0.0,0.25,0.5,0.5,0.6,0.5,0.2857
0.5,0.0,0.1667,1.0,0.2,0.25,0.75,0.5,0.0,0.5,0.4,1.0,0.1429
0.5312,0.0,0.6667,0.0,0.6,0.45,0.5,0.5,0.0,0.0,0.2,0.5,0.8571
0.5625,0.3333,0.6667,0.0,0.6,0.5,0.25,0.75,0.0,0.5,0.2,0.0,0.7143
0.5938,0.3333,0.3333,0.0,1.0,0.45,0.0,0.0,0.0,0.0,0.4,0.0,0.4286
0.625,0.3333,0.3333,0.0,0.4,0.6,0.0,0.25,1.0,0.0,0.2,0.0,0.1429
0.6562,0.0,0.8333,1.0,0.6,0.45,0.0,0.0,0.5,0.5,0.2,0.0,0.2857
0.6875,0.3333,0.6667,0.0,0.6,0.5,0.0,0.25,0.0,0.5,0.0,0.0,0.1429
0.7188,0.0,0.6667,1.0,0.6,0.45,0.0,0.0,0.0,1.0,0.8,0.0,0.1429
0.75,0.3333,0.6667,0.0,0.4,0.5,0.25,0.25,0.0,0.5,0.6,0.0,0.4286
0.7812,0.3333,0.6667,0.0,0.2,0.3,0.0,0.25,0.0,0.5,0.8,0.0,0.2857
0.8125,0.0,0.5,0.0,0.4,0.7,0.25,0.25,0.0,0.0,0.2,0.0,0.5714
0.8438,0.3333,0.3333,0.0,0.6,0.6,0.0,0.5,0.5,1.0,0.2,1.0,0.5714
0.875,0.3333,0.6667,0.0,1.0,0.4,0.0,0.5,0.0,0.0,0.6,0.5,0.2857
0.9062,0.0,0.5,1.0,0.2,0.35,1.0,1.0,0.0,0.0,0.2,0.0,0.1429
0.9375,0.0,0.1667,0.0,0.8,0.6,0.25,0.0,0.5,0.5,0.6,0.0,0.4286
0.9688,0.0,0.6667,1.0,0.6,0.5,0.25,0.5,0.0,0.0,0.0,0.5,0.5714
1.0,0.0,0.6667,0.0,0.4,1.0,0.0,0.5,0.0,0.0,0.2,1.0,1.0
