id,FreeNoun1,FreeNoun2,FreeNoun11,FreeNoun12,FreeNoun3,FreeNoun4,FreeNoun5,FreeNoun6,FreeNoun7,FreeNoun8,FreeNoun9,FreeNoun10
1,0.1899,0.3406,0.0,0.2203,0.771,0.0985,0.2046,0.0,0.0855,0.1924,0.0,0.3304
2,0.0,0.2434,0.0,0.2361,0.7871,0.2815,0.1949,0.0,0.0,0.0,0.3041,0.2361
3,0.0,0.4155,0.0,0.2015,0.7054,0.0,0.2496,0.1946,0.1564,0.352,0.0,0.2015
4,0.0,0.4118,0.0,0.2397,0.799,0.0,0.0,0.1543,0.0,0.093,0.0,0.3196
5,0.0,0.2351,0.0,0.076,0.9124,0.0,0.0,0.0,0.118,0.0,0.0,0.3041
6,0.0,0.0614,0.0,0.1191,0.9525,0.0,0.1474,0.0,0.1848,0.0693,0.0,0.1191
7,0.2983,0.1189,0.0,0.173,0.8651,0.3094,0.0714,0.0,0.0,0.0671,0.0,0.1153
8,0.1126,0.2693,0.0,0.196,0.8491,0.2336,0.2427,0.1262,0.0,0.0761,0.1262,0.0653
9,0.1156,0.0691,0.0,0.3352,0.8715,0.0,0.166,0.0,0.1041,0.0,0.259,0.067
10,0.0966,0.0577,0.0,0.2241,0.8964,0.0,0.0694,0.1082,0.087,0.3261,0.0,0.056
11,0.0,0.3479,0.2039,0.3375,0.675,0.3018,0.0,0.163,0.0,0.0982,0.163,0.3375
12,0.0,0.0,0.1521,0.2517,0.8811,0.1126,0.1559,0.2431,0.0,0.0733,0.0,0.1888
13,0.1159,0.2771,0.0,0.2016,0.8066,0.0,0.0832,0.0,0.2086,0.2348,0.0,0.3361
14,0.0922,0.1653,0.0,0.2673,0.8554,0.0,0.0662,0.1033,0.166,0.249,0.1033,0.2139
15,0.0,0.2272,0.0,0.147,0.8819,0.0,0.091,0.1419,0.1141,0.2567,0.1419,0.147
16,0.0,0.1077,0.2526,0.1045,0.5225,0.5607,0.2588,0.0,0.1622,0.2433,0.4037,0.1045
17,0.0,0.319,0.0,0.2321,0.6964,0.2768,0.1917,0.0,0.0,0.0901,0.1495,0.4643
18,0.1304,0.3119,0.0,0.2269,0.7565,0.1353,0.2811,0.0,0.1174,0.0881,0.0,0.3782
19,0.1526,0.1825,0.0,0.4426,0.7966,0.0,0.0,0.0,0.0,0.2061,0.0,0.2655
20,0.1307,0.1563,0.0,0.1516,0.9096,0.0,0.0939,0.2928,0.0,0.0883,0.0,0.0758
21,0.0,0.4454,0.2089,0.2593,0.7778,0.0,0.0,0.1669,0.1341,0.1006,0.0,0.1728
22,0.149,0.3563,0.0,0.2592,0.8641,0.0,0.107,0.0,0.1341,0.0,0.0,0.0864
23,0.0,0.3422,0.2006,0.249,0.747,0.0,0.0,0.0,0.2576,0.3865,0.0,0.083
24,0.1397,0.3341,0.0,0.1621,0.8103,0.1449,0.1003,0.0,0.1258,0.283,0.0,0.2431
25,0.1852,0.4431,0.0,0.1075,0.6447,0.0,0.1331,0.0,0.1668,0.5004,0.0,0.2149
26,0.0,0.2032,0.0,0.1314,0.9198,0.1175,0.0814,0.0,0.0,0.0765,0.0,0.2628
27,0.1184,0.1416,0.0,0.206,0.8242,0.0,0.1701,0.1327,0.2132,0.08,0.2653,0.2747
28,0.1484,0.3548,0.0,0.4303,0.6884,0.0,0.2131,0.0,0.0,0.3006,0.1662,0.1721
29,0.0,0.2582,0.2018,0.0835,0.5844,0.5972,0.4136,0.0,0.0,0.0972,0.0,0.0835
30,0.0,0.0745,0.0,0.289,0.8669,0.1292,0.0,0.1395,0.1121,0.2523,0.0,0.2167
31,0.0,0.325,0.1905,0.2365,0.7883,0.141,0.1953,0.0,0.0,0.0,0.1523,0.3153
32,0.0,0.1858,0.0,0.0901,0.9013,0.0,0.1116,0.0,0.0,0.0525,0.1741,0.3155
