id,mean_amplitude,rms,pulse_count,std_pulse_dist,zero_count,mean_onset_strength,spectral_centroid
0.0312,-0.1436,0.2456,0.5821,0.0593,0.4839,0.4807,0.6971
0.0625,0.0031,0.1942,0.3582,0.7288,0.5864,0.2454,0.9413
0.0938,0.0159,0.2667,0.1791,0.4517,0.5668,0.2677,0.722
0.125,0.4784,0.3715,0.806,0.1219,0.64,0.5903,0.528
0.1562,0.637,0.0777,0.4776,0.554,0.1145,0.0264,0.7412
0.1875,-0.0207,0.2056,0.6418,0.0756,0.2206,0.432,0.4397
0.2188,0.131,0.7476,0.8955,0.069,0.0002,0.0974,0.02
0.25,1.0,0.2358,0.5522,0.1166,0.1537,0.0872,0.3349
0.2812,-0.6434,0.2591,0.2836,0.7222,1.0,0.1744,0.9328
0.3125,0.6104,0.6254,0.6866,0.1504,0.0001,0.1501,0.0328
0.3438,-0.0055,0.0909,0.7164,0.0794,0.6974,0.284,0.7348
0.375,0.1509,0.7477,0.8657,0.0952,0.0086,0.3367,0.0431
0.4062,0.1921,0.3862,0.4179,0.463,0.7504,0.359,0.8995
0.4375,-0.0425,0.1993,0.2985,0.116,0.7471,0.1116,0.8209
0.4688,-0.0001,0.3848,0.4478,0.1869,0.0025,0.1258,0.0181
0.5,-0.0001,0.7734,0.5522,0.1195,0.0003,0.1481,0.0308
0.5312,0.1445,0.3879,0.597,0.1365,0.0034,0.2231,0.0188
0.5625,0.027,0.1913,0.3582,0.4202,0.7889,0.2028,0.9059
0.5938,0.0772,0.3598,0.209,1.0,0.1487,0.2779,0.3163
0.625,-0.0474,0.3784,0.7313,0.0924,0.6204,0.3489,0.662
0.6562,0.0575,0.3357,0.5373,0.2657,0.6953,0.2698,0.7691
0.6875,0.0155,0.2058,0.1493,0.4563,0.4673,0.2333,0.5859
0.7188,-0.0015,0.2494,0.209,0.6283,0.3752,0.2394,0.4751
0.75,0.0733,0.4188,0.8657,0.099,0.3985,1.0,0.257
0.7812,0.0362,0.2092,0.5821,0.0646,0.8261,0.503,0.6192
0.8125,0.3901,0.514,1.0,0.0534,0.3912,0.5781,0.192
0.8438,0.2828,0.3229,0.6269,0.3236,0.8584,0.4868,0.7756
0.875,0.1975,0.4631,0.7612,0.0622,0.6807,0.5112,0.4832
0.9062,-0.023,0.3272,0.5373,0.2418,0.8981,0.2637,0.9283
0.9375,0.0216,0.2287,0.3433,0.4963,0.5816,0.1947,1.0
0.9688,-0.0216,0.4148,0.7761,0.0743,0.0004,0.432,0.14
1.0,0.057,1.0,0.8507,0.1012,0.0214,0.3266,0.2983
