Concept,Descriptors
CombAdj1,like stuck funny wrong annoying bad weird sure okay
CombAdj2,hard nice rough good long big super short
CombAdj3,strong light heavy deep intense cold
CombAdj4,much other different more normal whole most same aware least few actual similar satisfied specific difficult
CombAdj5,sweaty sticky slippery wet
CombAdj6,smooth textured soft
CombAdj7,slight subtle
CombAdj8,pleasant gentle calming quiet calm
CombAdj9,aggressive alert
CombAdj10,slow fast easy quick
CombAdj11,constant continuous frequent
CombAdj12,electrical electric
CombAdj13,first last second
CombAdj14,little small tiny
CombAdj15,low high
CombAdj16,excited fun happy
CombAdj17,natural
CombAdj18,rhythmic
CombAdj19,anxious uncomfortable angry
