,mean_amplitude,rms,pulse_count,std_pulse_dist,zero_count,mean_onset_strength,spectral_centroid
CombAdj1,-0.0152,0.0647,-0.036,0.2831,-0.1793,-0.1305,0.021
CombAdj10,0.0064,-0.0328,0.0478,-0.0374,0.06,0.063,-0.0015
CombAdj11,0.1701,0.2381,-0.1043,-0.1009,-0.1524,-0.1478,-0.2852
CombAdj12,0.0201,0.2707,0.1482,0.0904,-0.2152,0.2075,-0.2562
CombAdj13,0.1535,-0.1128,-0.2604,0.0107,0.0668,-0.2307,0.0211
CombAdj14,-0.113,-0.0993,0.1707,-0.0988,0.2882,0.2092,0.2298
CombAdj15,-0.3172,-0.0097,-0.4226,0.2147,0.0132,-0.2993,0.0877
CombAdj16,-0.0455,-0.1854,-0.1104,-0.1108,0.1037,-0.2486,0.1595
CombAdj17,0.0554,0.1232,-0.0153,0.2552,-0.201,0.0864,-0.2042
CombAdj18,0.0979,0.206,0.1496,-0.209,0.0468,-0.0124,0.0188
CombAdj19,0.4967,-0.1458,-0.0614,0.1015,-0.0895,-0.175,-0.0195
CombAdj2,0.0296,-0.0137,-0.0609,0.1442,-0.1421,-0.3116,-0.0866
CombAdj3,-0.1076,-0.1614,-0.4211,0.4,-0.0272,-0.0877,-0.0493
CombAdj4,-0.3641,0.1384,0.0504,-0.0445,-0.0256,-0.121,-0.0037
CombAdj5,-0.2141,-0.2771,-0.0081,-0.0176,0.1128,-0.0387,0.1182
CombAdj6,-0.1667,-0.4214,-0.4979,0.2038,0.1738,-0.2873,0.2099
CombAdj7,-0.1618,-0.1723,-0.1932,0.2381,0.0585,0.1552,0.1351
CombAdj8,-0.2821,-0.0779,-0.2791,0.1189,-0.0264,-0.0871,-0.1182
CombAdj9,-0.2305,-0.0796,-0.0729,0.335,0.1224,-0.1172,0.2244
