,mean_amplitude,rms,pulse_count,std_pulse_dist,zero_count,mean_onset_strength,spectral_centroid
CombNoun1,-0.2934,-0.103,-0.1058,-0.0152,-0.0239,0.1415,0.001
CombNoun10,0.0032,-0.3303,-0.1583,-0.0216,0.2299,0.0962,0.131
CombNoun11,0.1551,-0.1279,-0.0242,0.0422,0.1672,-0.1366,0.1931
CombNoun12,-0.3674,0.0484,-0.1202,0.2751,0.0261,0.088,0.0691
CombNoun13,0.1496,0.0079,0.0495,0.0634,-0.0802,0.1849,-0.1808
CombNoun14,0.224,0.2171,0.3188,-0.2632,-0.1436,-0.3011,-0.0198
CombNoun15,-0.1962,-0.2495,-0.2764,0.2754,0.2254,0.0591,0.1197
CombNoun16,0.0412,0.2199,0.2713,-0.2339,-0.1477,0.0091,-0.1297
CombNoun17,0.0448,-0.3024,-0.4268,0.0926,0.2852,-0.1981,0.2799
CombNoun2,0.0269,0.1805,0.2587,-0.2541,-0.1211,-0.0082,-0.1401
CombNoun3,0.1498,0.1036,-0.107,-0.1587,-0.1292,-0.0256,-0.1696
CombNoun4,0.0074,-0.0273,-0.0505,0.1648,-0.0859,-0.2858,-0.0219
CombNoun5,-0.0796,-0.1466,-0.0908,0.2416,0.232,0.3481,0.2531
CombNoun6,0.0299,0.1398,0.2473,-0.2376,-0.1139,0.1348,0.0195
CombNoun7,0.1421,0.1252,0.3718,-0.3151,0.0119,-0.0154,-0.0348
CombNoun8,-0.0706,0.1353,0.0384,-0.1157,-0.1025,0.0615,-0.0868
CombNoun9,-0.2495,0.2017,0.0713,-0.1865,-0.0172,-0.0898,-0.0739
