,mean_amplitude,rms,pulse_count,std_pulse_dist,zero_count,mean_onset_strength,spectral_centroid
CombNoun1,-0.2909,-0.0934,-0.1084,-0.0013,-0.0044,0.2231,-0.0184
CombNoun10,-0.0625,-0.3426,-0.2178,0.0343,0.2341,0.1946,0.0942
CombNoun11,0.1163,-0.1115,-0.0447,0.0435,0.1767,-0.1166,0.184
CombNoun12,-0.3664,-0.0222,-0.1961,0.3403,0.0295,0.1054,0.054
CombNoun13,0.1268,-0.0062,0.0044,0.1349,-0.0943,0.2218,-0.1927
CombNoun14,0.1886,0.1749,0.2677,-0.1784,-0.067,-0.2366,-0.0341
CombNoun15,-0.197,-0.2392,-0.2897,0.3087,0.2125,0.0904,0.1027
CombNoun16,0.0348,0.1499,0.2558,-0.2397,-0.1026,0.0867,-0.1181
CombNoun17,0.0022,-0.325,-0.4817,0.1513,0.3175,-0.163,0.2967
CombNoun2,-0.0276,0.1731,0.206,-0.2147,-0.0986,0.0501,-0.149
CombNoun3,0.1002,0.054,-0.1521,-0.0887,-0.0942,0.0751,-0.1691
CombNoun4,-0.0733,-0.0905,-0.1786,0.2836,-0.0614,-0.2299,-0.0146
CombNoun5,-0.0948,-0.1552,-0.095,0.2564,0.219,0.4307,0.2087
CombNoun6,-0.0244,0.038,0.1446,-0.1661,-0.0718,0.2528,0.0238
CombNoun7,0.0755,0.1123,0.3153,-0.3022,0.0414,0.0115,-0.0225
CombNoun8,-0.1109,0.088,-0.0216,-0.0672,-0.1005,0.1325,-0.1122
CombNoun9,-0.2764,0.1573,0.0044,-0.1528,0.0378,-0.023,-0.0375
