,mean_amplitude,rms,pulse_count,std_pulse_dist,zero_count,mean_onset_strength,spectral_centroid
ConstAdj1,-0.3619,-0.0815,-0.2195,0.3992,0.06,-0.0623,0.1278
ConstAdj10,-0.3039,-0.2108,-0.4834,0.3192,0.1155,-0.1993,0.1363
ConstAdj2,0.3168,0.0723,0.2124,-0.1534,-0.2374,-0.1127,-0.146
ConstAdj3,0.023,0.3914,0.0848,-0.1571,-0.2427,-0.0415,-0.3823
ConstAdj4,-0.0881,-0.2759,0.0443,-0.1168,0.2085,-0.05,0.2012
ConstAdj5,0.1118,-0.3533,-0.3775,0.0735,0.1218,-0.1095,0.1059
ConstAdj6,-0.1348,-0.049,0.0087,-0.003,0.1905,0.0833,0.1023
ConstAdj7,0.0931,-0.1278,-0.2204,-0.0872,0.0622,-0.1488,-0.0606
ConstAdj8,-0.0498,0.3942,0.0437,0.0737,-0.3506,-0.142,-0.3144
ConstAdj9,-0.0095,0.1927,0.1468,-0.1121,0.1674,0.1334,0.0848
