,mean_amplitude,rms,pulse_count,std_pulse_dist,zero_count,mean_onset_strength,spectral_centroid
ConstAdj1,-0.1682,-0.0296,0.0025,0.2231,-0.0503,0.1331,0.0424
ConstAdj10,-0.2213,-0.2342,-0.4716,0.251,0.1342,-0.2011,0.1704
ConstAdj2,0.375,0.0997,0.2557,-0.2078,-0.2472,-0.1168,-0.1679
ConstAdj3,0.0606,0.3721,0.1163,-0.1632,-0.2043,-0.0214,-0.3474
ConstAdj4,0.0122,-0.2236,0.1225,-0.2032,0.1842,-0.0567,0.1782
ConstAdj5,0.1162,-0.3457,-0.3607,0.0613,0.1532,-0.0675,0.1284
ConstAdj6,-0.039,0.0087,0.1214,-0.1361,0.1815,0.1214,0.0708
ConstAdj7,0.1575,-0.1239,-0.1736,-0.157,0.0613,-0.1557,-0.0658
ConstAdj8,-0.0255,0.3884,0.0654,0.0857,-0.361,-0.1392,-0.3273
ConstAdj9,-0.0043,0.1469,0.1346,-0.0876,0.2319,0.1369,0.1475
