,mean_amplitude,rms,pulse_count,std_pulse_dist,zero_count,mean_onset_strength,spectral_centroid
FreeAdj1,-0.034,-0.2248,-0.1579,0.1318,0.0988,0.2256,0.0409
FreeAdj10,0.0755,-0.039,-0.2545,0.0134,0.0398,-0.1086,-0.0356
FreeAdj11,-0.2771,0.0648,0.0089,-0.0257,-0.0633,0.1227,-0.105
FreeAdj2,-0.0379,-0.0455,0.1048,-0.0904,0.0146,-0.2712,0.0215
FreeAdj3,-0.1851,0.039,-0.2313,0.0446,-0.1657,-0.2564,-0.0533
FreeAdj4,-0.0703,-0.2163,-0.0265,0.131,0.1814,0.2418,0.0909
FreeAdj5,0.1099,-0.167,0.175,0.0339,0.1902,0.5594,0.067
FreeAdj6,0.0073,-0.1467,-0.031,0.0764,0.2187,-0.3072,0.2061
FreeAdj7,-0.0305,-0.1091,0.2768,-0.1626,0.2592,0.2533,0.2654
FreeAdj8,-0.0349,0.0985,-0.1554,-0.0165,-0.2536,-0.1792,-0.2995
FreeAdj9,-0.1972,-0.2034,-0.3741,0.2804,-0.0194,-0.0539,-0.0207
