,mean_amplitude,rms,pulse_count,std_pulse_dist,zero_count,mean_onset_strength,spectral_centroid
FreeNoun1,-0.0272,0.073,0.0594,-0.0796,0.0945,0.0163,-0.017
FreeNoun10,0.0259,0.0967,0.2356,-0.124,-0.0637,0.2147,0.0506
FreeNoun11,-0.1763,0.1289,0.0921,-0.1181,-0.0769,-0.0852,-0.1068
FreeNoun12,-0.1678,-0.0906,-0.186,0.2397,0.156,-0.1031,0.1159
FreeNoun2,0.0972,-0.2877,-0.0296,-0.1459,0.229,0.2884,0.1961
FreeNoun3,0.1384,0.3351,0.2917,-0.1962,-0.2947,-0.1042,-0.1611
FreeNoun4,0.0243,0.1695,0.2204,-0.2105,-0.143,-0.1694,-0.1445
FreeNoun5,-0.0978,0.1245,0.0692,-0.2288,0.0628,-0.005,0.0257
FreeNoun6,0.1919,0.0355,0.125,-0.2283,0.031,-0.1178,-0.002
FreeNoun7,-0.1735,-0.3247,-0.4615,0.1885,0.2652,-0.0361,0.3185
FreeNoun8,0.0399,0.0419,-0.1489,-0.1137,0.0325,0.1012,-0.087
FreeNoun9,-0.1922,0.2006,-0.0026,0.0307,-0.0097,-0.1698,-0.0238
